         x          y
-10.000000  -0.264199
 -9.411765  -0.242467
 -8.823529  -0.221784
 -8.235294  -0.198163
 -7.647059  -0.234684
 -7.058824  -0.169839
 -6.470588  -0.095098
 -5.882353  -0.086331
 -5.294118  -0.119879
 -4.705882   0.044901
 -4.117647   0.019451
 -3.529412   0.154398
 -2.941176   0.387338
 -2.352941   0.633409
 -1.764706   0.931171
 -1.176471   1.194665
 -0.588235   1.091164
  0.000000   1.080074
  0.588235   0.738156
  1.176471   0.434080
  1.764706   0.348505
  2.352941   0.113912
  2.941176   0.111284
  3.529412  -0.033747
  4.117647  -0.045752
  4.705882  -0.074448
  5.294118  -0.103589
  5.882353  -0.217424
  6.470588  -0.221812
  7.058824  -0.199647
  7.647059  -0.215431
  8.235294  -0.284694
  8.823529  -0.215512
  9.411765  -0.277405
 10.000000  -0.257006
